name,rating,sector,no_of_employees,ownership_status,age_of_company,headquarters_location,salary,available_jobs
CGI Group,4.1,IT Services & Consulting,10k-50k Employees,Forbes Global 2000,48.0,Montreal,42700.0,179.0
Virtusa Consulting Services,3.9,IT Services & Consulting,10k-50k Employees,,28.0,Southborough,52000.0,--
Equitas Small Finance Bank,4.4,Banking,10k-50k Employees,Fortune India 500,17.0,Chennai,11600.0,591.0
TVS Motor,4.1,Automobile,5k-10k Employees,Public,45.0,Chennai,13900.0,70.0
Manappuram Finance,4.0,NBFC,10k-50k Employees,Public,75.0,Thrissur/Trichur,7500.0,30.0
Ekart Logistics,4.1,Logistics,1k-5k Employees,,15.0,San Francisco,11100.0,--
GlobalLogic,3.7,IT Services & Consulting,10k-50k Employees,,24.0,San Jose,32600.0,106.0
UST,3.8,IT Services & Consulting,10k-50k Employees,,23.0,Aliso Viejo,35400.0,54.0
SBI Cards & Payment Services,3.7,Financial Services,1k-5k Employees,,26.0,Gurgaon/Gurugram,15200.0,153.0
Hewlett Packard Enterprise,4.3,IT Services & Consulting,10k-50k Employees,Forbes Global 2000,9.0,Houston,30600.0,9.0
Atos Syntel,3.6,IT Services & Consulting,5k-10k Employees,,44.0,Troy,34700.0,19.0
Bosch Global Software Technologies,4.1,Software Product,10k-50k Employees,,27.0,Gerlingen,35400.0,24.0
IQVIA,4.0,Clinical Research,10k-50k Employees,Forbes Global 2000,42.0,Durham,27400.0,31.0
Nagarro,4.1,IT Services & Consulting,10k-50k Employees,,28.0,Munich,26600.0,36.0
Cholamandalam Investment & Finance,4.1,NBFC,10k-50k Employees,Fortune India 500,46.0,Chennai,10100.0,26.0
SMFG India Credit,4.1,NBFC,10k-50k Employees,,17.0,Mumbai,10500.0,138.0
Bosch,4.3,Auto Components,5k-10k Employees,Public,138.0,Gerlingen,20200.0,--
Reliance Communications,4.0,Telecom,201-500 Employees,Public,22.0,Navi Mumbai,11400.0,2.0
BNY Mellon,4.0,Investment Banking / Venture Capital / Private Equity,10k-50k Employees,Forbes Global 2000,20.0,New York City,28600.0,345.0
L&T Technology Services,3.4,IT Services & Consulting,10k-50k Employees,Public,12.0,Vadodara/Baroda,34200.0,--
Schneider Electric,4.2,Industrial Automation,10k-50k Employees,Forbes Global 2000,25.0,Paris,21400.0,36.0
Hyundai Motor India Limited,4.4,Automobile,10k-50k Employees,Fortune India 500,57.0,Seoul,13000.0,4.0
Amdocs,4.0,Software Product,10k-50k Employees,Forbes Global 2000,42.0,Chesterfield,35300.0,--
Oyo Rooms,3.4,Hospitality,1k-5k Employees,Indian Unicorn,11.0,Gurgaon,24000.0,38.0
Swiggy,3.9,Internet,5k-10k Employees,Indian Unicorn,10.0,Bangalore,19200.0,123.0
CBRE,4.2,Real Estate,10k-50k Employees,Forbes Global 2000,118.0,Los Angeles,16000.0,82.0
State Bank of India,3.8,Banking,1 Lakh+ Employees,Fortune India 500,218.0,Mumbai,10200.0,--
JBM Group,4.0,Auto Components,1k-5k Employees,Public,41.0,Gurgaon/Gurugram,13300.0,1.0
BT Group,4.1,Telecom,10k-50k Employees,Forbes Global 2000,178.0,London,10800.0,56.0
SBI Life Insurance Company,3.9,Insurance,10k-50k Employees,,23.0,Mumbai,10200.0,5.0
Optum,4.0,Healthcare,10k-50k Employees,,47.0,Prairie,27200.0,63.0
Ecom Express,4.0,Logistics,10k-50k Employees,,12.0,Gurgaon,8500.0,28.0
Nagarjuna Construction Company,4.2,Engineering & Construction,5k-10k Employees,Public,26.0,Hyderabad/Secunderabad,10500.0,7.0
Dell,4.2,Consumer Electronics & Appliances,10k-50k Employees,Forbes Global 2000,40.0,Round Rock,27200.0,49.0
Bajaj Auto,3.9,Automobile,5k-10k Employees,Public,79.0,Pune,13200.0,--
KEC International,4.1,Engineering & Construction,5k-10k Employees,Public,79.0,Mumbai,11100.0,1.0
Future Group,4.3,Retail,10k-50k Employees,Conglomerate,11.0,Mumbai,10500.0,--
Piramal Capital Housing Finance,4.2,NBFC,1k-5k Employees,,4.0,Mumbai,9000.0,7.0
Aditya Birla Fashion and Retail,4.2,Fashion & Textile,10k-50k Employees,Fortune India 500,36.0,Mumbai,11600.0,21.0
Muthoot Fincorp,4.1,NBFC,10k-50k Employees,Conglomerate,137.0,Trivandrum/Thiruvananthapuram,8000.0,27.0
Royal Enfield,4.3,Automobile,5k-10k Employees,,123.0,Gurgaon/Gurugram,13100.0,8.0
L&T Finance,4.0,NBFC,10k-50k Employees,Public,30.0,Mumbai,10900.0,--
Viatris,4.2,Pharma,10k-50k Employees,Forbes Global 2000,4.0,Canonsburg,14000.0,1.0
Tata Communications,4.1,Telecom,5k-10k Employees,Public,38.0,Mumbai,22300.0,315.0
Samvardhana Motherson Group,3.8,Auto Components,1k-5k Employees,Public,38.0,Noida,13100.0,46.0
LG Electronics,4.1,Consumer Electronics & Appliances,1k-5k Employees,Public,66.0,Seoul,10000.0,--
Intas Pharmaceuticals,4.2,Pharma,10k-50k Employees,Fortune India 500,47.0,Ahmedabad,15000.0,37.0
John Deere,4.3,Industrial Machinery,5k-10k Employees,Fortune India 500,23.0,Moline,14000.0,1.0
Varun Beverages,4.1,Beverage,5k-10k Employees,Public,29.0,Gurgaon/Gurugram,9600.0,62.0
Kogta Financial India Limited,4.8,NBFC,1k-5k Employees,Public,28.0,Jaipur,1400.0,4.0
Persistent Systems,3.8,IT Services & Consulting,10k-50k Employees,Public,34.0,Pune,33900.0,45.0
